Week,Length_cm,Weight_g,Development
4,0.1,1,Embryo implants in uterus
5,0.2,1,Heart begins to beat
6,0.4,1,Brain and spinal cord forming
7,1.0,1,Arms and legs start to form
8,1.6,1,Fingers and toes forming
9,2.3,2,All essential organs have begun forming
10,3.1,4,Bones begin to harden
11,4.1,7,Baby can open and close fists
12,5.4,14,Reflexes begin to develop
13,7.4,23,Fingerprints have formed
14,8.7,43,Baby can squint and frown
15,10.1,70,Baby can sense light
16,11.6,100,Circulatory system is functioning
17,13.0,140,Skeleton changing from cartilage to bone
18,14.2,190,Baby can yawn and hiccup
19,15.3,240,Vernix caseosa coats the skin
20,16.4,300,Baby can hear sounds
21,26.7,360,Eyebrows and eyelids fully formed
22,27.8,430,Baby has a sense of touch
23,28.9,500,Baby can hear outside sounds
24,30.0,600,Lungs developing branches
25,34.6,660,Baby responds to your voice
26,35.6,760,Eyes begin to open
27,36.6,875,Baby can sleep and wake regularly
28,37.6,1000,Baby can blink eyes
29,38.6,1150,Baby can regulate body temperature
30,39.9,1320,Baby is getting plumper
31,41.1,1500,Brain development is rapid
32,42.4,1700,Toenails are visible
33,43.7,1900,Bones are hardening further
34,45.0,2150,Baby's immune system developing
35,46.2,2380,Kidneys are fully developed
36,47.4,2620,Baby is gaining weight rapidly
37,48.6,2860,Baby is considered early term
38,49.8,3080,Brain and lungs continue to mature
39,50.7,3290,Baby is full term
40,51.2,3460,Baby is ready for birth
